name,line,over,under
Carlik Jones Turnovers,0.5,340,-627
Coby White Points,9.5,-133,-5
Coby White Rebounds,3.5,125,-182
Coby White Points + Rebounds + Assists,15.5,-120,-120
Coby White Points + Rebounds,13.5,-103,-140
Coby White Points + Assists,12.5,-110,-130
Coby White Rebounds + Assists,5.5,-110,-130
Coby White Three Points Made,1.5,-166,115
Coby White Turnovers,1.5,162,-242
Dalen Terry Three Points Made,0.5,427,-900
Dalen Terry Turnovers,0.5,219,-347
DeMar DeRozan Points,25.5,-114.3333333,-112.6666667
DeMar DeRozan Rebounds,5.5,106,-133.6
DeMar DeRozan Assists,4.5,-29,-117.8
DeMar DeRozan Points + Rebounds + Assists,35.5,-116.8,-109.6
DeMar DeRozan Points + Rebounds,31.5,-113.5,-121.5
DeMar DeRozan Points + Assists,32.5,-124,-116
DeMar DeRozan Rebounds + Assists,9.5,-135,105
DeMar DeRozan Three Points Made,1.5,184,-282
DeMar DeRozan Blocks,0.5,184,-282
DeMar DeRozan Steals,1.5,-148,103
DeMar DeRozan Steals + Blocks,1.5,-252,167
DeMar DeRozan Turnovers,1.5,-163,113
Goran Dragic Points,7.5,-110,-120
Goran Dragic Points + Assists,10.5,-106,-129
Goran Dragic Three Points Made,0.5,-187,128
Goran Dragic Turnovers,1.5,138,-202
Immanuel Quickley Points,10.5,-135,105
Immanuel Quickley Rebounds,3.5,125,-182
Immanuel Quickley Points + Rebounds + Assists,17.5,-138,-104
Immanuel Quickley Points + Rebounds,15.5,-104,-138
Immanuel Quickley Points + Assists,14.5,-128,-112
Immanuel Quickley Rebounds + Assists,5.5,-142,-101
Immanuel Quickley Three Points Made,1.5,-134,-107
Immanuel Quickley Turnovers,1.5,111,-160
Isaiah Hartenstein Rebounds,6.5,113,-163
Isaiah Hartenstein Points + Rebounds + Assists,12.5,103,-148
Isaiah Hartenstein Points + Rebounds,10.5,-151,105
Isaiah Hartenstein Rebounds + Assists,7.5,107,-154
Isaiah Hartenstein Three Points Made,0.5,236,-382
Isaiah Hartenstein Steals + Blocks,1.5,150,-222
Isaiah Hartenstein Turnovers,0.5,-142,-101
Jalen Brunson Points,22.5,-119,-28.2
Jalen Brunson Rebounds,3.5,55.85714286,-147
Jalen Brunson Assists,6.5,22,-130
Jalen Brunson Points + Rebounds + Assists,32.5,-115.5,-110.5
Jalen Brunson Points + Rebounds,25.5,-115,-115
Jalen Brunson Points + Assists,26.5,-138,-104
Jalen Brunson Rebounds + Assists,9.5,-115,-115
Jalen Brunson Three Points Made,1.5,112.2,-147.2
Jalen Brunson Blocks,0.5,440,-950
Jalen Brunson Steals,0.5,-169,117
Jalen Brunson Steals + Blocks,0.5,-222,150
Jalen Brunson Turnovers,2.5,-192,131
Jericho Sims Rebounds,3.5,119,-172
Jericho Sims Turnovers,0.5,156,-232
Julius Randle Points,24.5,-118.5,-108.1666667
Julius Randle Rebounds,10.5,-19.6,-132.2
Julius Randle Assists,4.5,121,-154.6
Julius Randle Points + Rebounds + Assists,39.5,-111.8333333,-118.1666667
Julius Randle Points + Rebounds,35.5,-110,-120
Julius Randle Points + Assists,28.5,-120,-110
Julius Randle Rebounds + Assists,14.5,-108,-128.5
Julius Randle Three Points Made,2.5,65.2,-102.6
Julius Randle Blocks,0.5,269,-452
Julius Randle Steals,0.5,107,-154
Julius Randle Steals + Blocks,0.5,-145,101
Julius Randle Turnovers,2.5,107,-154
Malcolm Hill Three Points Made,0.5,520,-1300
Malcolm Hill Turnovers,0.5,412,-850
Marko Simonovic Turnovers,0.5,412,-850
Miles McBride Three Points Made,0.5,-110,-130
Miles McBride Turnovers,0.5,113,-163
Mitchell Robinson Points,8.5,-116,-109.5
Mitchell Robinson Rebounds,9.5,-21.4,-126.6
Mitchell Robinson Assists,1.5,-116,-124
Mitchell Robinson Points + Rebounds + Assists,18.5,-121.5,-104.5
Mitchell Robinson Points + Rebounds,17.5,-120,-110
Mitchell Robinson Points + Assists,8.5,-106,-136
Mitchell Robinson Rebounds + Assists,9.5,-128,-112
Mitchell Robinson Blocks,1.5,103,-148
Mitchell Robinson Steals,0.5,111,-160
Mitchell Robinson Steals + Blocks,1.5,-192,131
Mitchell Robinson Turnovers,0.5,-106,-136
Mitchell Robinson Three Points Made,0.5,974,-31000
Nikola Vucevic Points,15.5,-113.4,-113.4
Nikola Vucevic Rebounds,9.5,-109.4,-116.6
Nikola Vucevic Assists,2.5,-34.42857143,-144.4285714
Nikola Vucevic Points + Rebounds + Assists,27.5,-115,-111.8
Nikola Vucevic Points + Rebounds,24.5,-125,-105
Nikola Vucevic Points + Assists,17.5,-120,-110
Nikola Vucevic Rebounds + Assists,10.5,-151,105
Nikola Vucevic Three Points Made,1.5,-1.5,-125.5
Nikola Vucevic Blocks,0.5,103,-148
Nikola Vucevic Steals,1.5,-112,-128
Nikola Vucevic Steals + Blocks,2.5,144,-212
Nikola Vucevic Turnovers,2.5,122,-177
Patrick Williams Points,10.5,-113.8571429,-115.2857143
Patrick Williams Rebounds,4.5,66,-138
Patrick Williams Assists,1.5,-148,103
Patrick Williams Points + Rebounds + Assists,16.5,23.33333333,-121.3333333
Patrick Williams Points + Rebounds,14.5,-138,-104
Patrick Williams Points + Assists,12.5,-106,-136
Patrick Williams Rebounds + Assists,6.5,103,-148
Patrick Williams Three Points Made,1.5,111,-160
Patrick Williams Blocks,0.5,-187,128
Patrick Williams Steals,0.5,-138,-104
Patrick Williams Steals + Blocks,1.5,-126,-114
Patrick Williams Turnovers,1.5,103,-148
Quentin Grimes Points,12.5,-37.66666667,-132
Quentin Grimes Rebounds,3.5,29.66666667,-68.66666667
Quentin Grimes Assists,1.5,-151,105
Quentin Grimes Points + Rebounds + Assists,17.5,-114,-126
Quentin Grimes Points + Rebounds,15.5,-4.5,-130.5
Quentin Grimes Points + Assists,13.5,-151,105
Quentin Grimes Rebounds + Assists,5.5,111,-160
Quentin Grimes Three Points Made,2.5,-138,-104
Quentin Grimes Blocks,1.5,162,-242
Quentin Grimes Steals,0.5,-160,111
Quentin Grimes Steals + Blocks,2.5,144,-212
Quentin Grimes Turnovers,1.5,-262,173
RJ Barrett Points,23.5,101.6666667,-128.3333333
RJ Barrett Rebounds,5.5,-109,-117.8
RJ Barrett Assists,3.5,118.6,-151
RJ Barrett Points + Rebounds + Assists,31.5,-121.4,-106.2
RJ Barrett Points + Rebounds,33.5,-128,-112
RJ Barrett Points + Assists,25.5,-120,-110
RJ Barrett Rebounds + Assists,8.5,-135,105
RJ Barrett Three Points Made,1.5,-162,128
RJ Barrett Blocks,0.5,291,-502
RJ Barrett Steals,0.5,107,-154
RJ Barrett Steals + Blocks,0.5,-138,-104
RJ Barrett Turnovers,3.5,128,-187
Tony Bradley Turnovers,0.5,365,-700
Zach LaVine Points,21.5,-107.4,-119.4
Zach LaVine Rebounds,4.5,-55.85714286,-61.57142857
Zach LaVine Assists,4.5,63.4,-131.4
Zach LaVine Points + Rebounds + Assists,30.5,-108.4,-118.4
Zach LaVine Points + Rebounds,25.5,-115,-115
Zach LaVine Points + Assists,25.5,-115,-115
Zach LaVine Rebounds + Assists,8.5,-130,-100
Zach LaVine Three Points Made,2.5,101,-127.5
Zach LaVine Blocks,0.5,453,-1000
Zach LaVine Steals,0.5,-192,131
Zach LaVine Steals + Blocks,0.5,-242,162
Zach LaVine Turnovers,1.5,-192,131
Aaron Holiday Three Points Made,0.5,520,-1300
Aaron Holiday Turnovers,0.5,382,-750
Aj Griffin Points,9.5,-109,-116
AJ Griffin Points + Rebounds + Assists,12.5,-118,-122
AJ Griffin Points + Rebounds,11.5,-112,-128
AJ Griffin Points + Assists,10.5,-101,-142
AJ Griffin Three Points Made,1.5,-109,-132
AJ Griffin Turnovers,0.5,-128,-112
Alec Burks Points,10.5,-113.3333333,-120
Alec Burks Points + Rebounds + Assists,14.5,-140,-103
Alec Burks Points + Rebounds,13.5,-109,-132
Alec Burks Points + Assists,11.5,-151,105
Alec Burks Three Points Made,1.5,109,-157
Alec Burks Turnovers,0.5,-212,144
Bogdan Bogdanovic Points,16.5,-125,-105
Bogdan Bogdanovic Rebounds,3.5,-148,113.3333333
Bogdan Bogdanovic Points + Rebounds + Assists,24.5,-110,-130
Bogdan Bogdanovic Points + Rebounds,19.5,-120,-110
Bogdan Bogdanovic Points + Assists,20.5,-110,-130
Bogdan Bogdanovic Rebounds + Assists,6.5,-134,-107
Bogdan Bogdanovic Three Points Made,2.5,-142,-101
Bogdan Bogdanovic Steals + Blocks,1.5,144,-212
Bogdan Bogdanovic Turnovers,1.5,144,-212
Bojan Bogdanovic Points,20.5,-116.2,-111
Bojan Bogdanovic Rebounds,3.5,119,-151.8
Bojan Bogdanovic Assists,2.5,121,-155
Bojan Bogdanovic Points + Rebounds + Assists,26.5,-79.16666667,-116.3333333
Bojan Bogdanovic Points + Rebounds,25.5,-107,-134
Bojan Bogdanovic Points + Assists,24.5,-114,-126
Bojan Bogdanovic Rebounds + Assists,4.5,-124,-116
Bojan Bogdanovic Three Points Made,2.5,126.5,-162
Bojan Bogdanovic Blocks,0.5,870,-7500
Bojan Bogdanovic Steals,1.5,125,-182
Bojan Bogdanovic Steals + Blocks,1.5,115,-166
Bojan Bogdanovic Turnovers,2.5,-138,-104
Clint Capela Points,15.5,-140,1.5
Clint Capela Rebounds,13.5,-115,-120
Clint Capela Assists,0.5,-110,-130
Clint Capela Points + Rebounds + Assists,30.5,-103,-140
Clint Capela Points + Rebounds,21.5,-110,-120
Clint Capela Points + Assists,16.5,-116,-124
Clint Capela Rebounds + Assists,14.5,101,-145
Clint Capela Blocks,1.5,-262,173
Clint Capela Steals,0.5,119,-172
Clint Capela Steals + Blocks,2.5,-112,-128
Clint Capela Turnovers,1.5,-122,-118
Clint Capela Three Points Made,0.5,974,-31000
Cory Joseph Three Points Made,0.5,184,-282
Cory Joseph Turnovers,0.5,113,-163
De'Andre Hunter Points,15.5,-69.2,-117.2
De'Andre Hunter Rebounds,4.5,117.2,-149.2
De'Andre Hunter Assists,1.5,138,-202
De'Andre Hunter Points + Rebounds + Assists,20.5,-125,-103
De'Andre Hunter Points + Rebounds,19.5,-120,-110
De'Andre Hunter Points + Assists,13.5,-122,-118
De'Andre Hunter Rebounds + Assists,4.5,-120,-120
De'Andre Hunter Three Points Made,1.5,139,-179.5
De'Andre Hunter Blocks,0.5,236,-382
De'Andre Hunter Steals,0.5,138,-202
De'Andre Hunter Steals + Blocks,0.5,-134,-107
De'Andre Hunter Turnovers,0.5,-262,173
Dejounte Murray Points,19.5,-113.8,-112.6
Dejounte Murray Rebounds,5.5,-107.8,-119
Dejounte Murray Assists,6.5,61.8,-129.8
Dejounte Murray Points + Rebounds + Assists,31.5,-117.4,-109.4
Dejounte Murray Points + Rebounds,24.5,-125,-105
Dejounte Murray Points + Assists,25.5,-125,-105
Dejounte Murray Rebounds + Assists,12.5,-2,-133.5
Dejounte Murray Three Points Made,1.5,121.6,-160.2
Dejounte Murray Blocks,0.5,195,-302
Dejounte Murray Steals,1.5,115,-166
Dejounte Murray Steals + Blocks,1.5,-126,-114
Dejounte Murray Turnovers,1.5,-177,122
Hamidou Diallo Turnovers,0.5,211,-332
Isaiah Stewart Points,10.5,-122.4,-104.8
Isaiah Stewart Rebounds,6.5,-135,16.28571429
Isaiah Stewart Assists,0.5,-177,122
Isaiah Stewart Points + Rebounds + Assists,19.5,-1.5,-126
Isaiah Stewart Points + Rebounds,17.5,-115,-115
Isaiah Stewart Points + Assists,15.5,-101,-142
Isaiah Stewart Rebounds + Assists,7.5,-112,-128
Isaiah Stewart Three Points Made,1.5,136.5,-176
Isaiah Stewart Blocks,0.5,-103,-140
Isaiah Stewart Steals,0.5,219,-347
Isaiah Stewart Steals + Blocks,0.5,-177,122
Isaiah Stewart Turnovers,0.5,-187,128
Jaden Ivey Points,16.5,-121.5714286,-51.14285714
Jaden Ivey Rebounds,3.5,-140.8,110.8
Jaden Ivey Assists,3.5,-131.2,63.2
Jaden Ivey Points + Rebounds + Assists,24.5,-105.8,-121.8
Jaden Ivey Points + Rebounds,20.5,-110,-120
Jaden Ivey Points + Assists,20.5,-105,-125
Jaden Ivey Rebounds + Assists,8.5,-124,-116
Jaden Ivey Three Points Made,1.5,144.8,-192
Jaden Ivey Blocks,0.5,291,-502
Jaden Ivey Steals,0.5,-169,117
Jaden Ivey Steals + Blocks,0.5,-242,162
Jaden Ivey Turnovers,2.5,111,-160
Jalen Duren Points,8.5,-109.3333333,-119.6666667
Jalen Duren Rebounds,10.5,-119.8,-27.8
Jalen Duren Assists,0.5,-262,173
Jalen Duren Points + Rebounds + Assists,20.5,-129,102
Jalen Duren Points + Rebounds,17.5,-124,-116
Jalen Duren Points + Assists,9.5,-126,-114
Jalen Duren Rebounds + Assists,10.5,103,-148
Jalen Duren Blocks,0.5,-116,-124
Jalen Duren Steals,0.5,109,-157
Jalen Duren Steals + Blocks,1.5,150,-222
Jalen Duren Turnovers,0.5,-242,162
Jalen Duren Three Points Made,0.5,1200,-60000
Jalen Johnson Turnovers,0.5,311,-552
John Collins Points,11.5,39,-143
John Collins Rebounds,5.5,-1,-137
John Collins Assists,0.5,-242,162
John Collins Points + Assists,12.5,-103,-140
John Collins Points + Rebounds + Assists,17.5,-134,-107
John Collins Points + Rebounds,16.5,-124,-116
John Collins Rebounds + Assists,6.5,-116,-124
John Collins Three Points Made,0.5,107,-154
John Collins Blocks,0.5,-163,113
John Collins Steals,0.5,111,-160
John Collins Turnovers,0.5,-222,150
John Collins Steals + Blocks,1.5,111,-160
Kevin Knox II Points + Rebounds,10.5,-104,-131
Kevin Knox II Three Points Made,1.5,167,-252
Kevin Knox II Turnovers,0.5,-136,-106
Killian Hayes Points,10.5,-122,-104.5
Killian Hayes Rebounds,3.5,43.85714286,-134.4285714
Killian Hayes Assists,6.5,38.14285714,-72.28571429
Killian Hayes Points + Rebounds + Assists,20.5,-111.8,-114.6
Killian Hayes Points + Rebounds,12.5,-148,103
Killian Hayes Points + Assists,16.5,-109,-132
Killian Hayes Rebounds + Assists,9.5,-115,-115
Killian Hayes Three Points Made,1.5,157.5,-202.5
Killian Hayes Blocks,0.5,226,-362
Killian Hayes Steals,0.5,-222,150
Killian Hayes Steals + Blocks,1.5,125,-182
Killian Hayes Turnovers,1.5,-140,-103
Marvin Bagley Points,9.5,-2.5,-123.5
Marvin Bagley Rebounds,5.5,4,-131
Marvin Bagley Points + Rebounds,14.5,-125,-105
Marvin Bagley III Points,8.5,-142,-101
Marvin Bagley III Rebounds,5.5,109,-157
Marvin Bagley III Points + Rebounds + Assists,14.5,-134,-107
Marvin Bagley III Points + Rebounds,14.5,101,-145
Marvin Bagley III Rebounds + Assists,5.5,-142,-101
Marvin Bagley III Three Points Made,0.5,201,-312
Marvin Bagley III Turnovers,0.5,-138,-104
Onyeka Okongwu Rebounds,6.5,-126,-114
Onyeka Okongwu Points + Rebounds + Assists,14.5,-134,-107
Onyeka Okongwu Points + Rebounds,14.5,-106,-136
Onyeka Okongwu Rebounds + Assists,7.5,-101,-142
Onyeka Okongwu Steals + Blocks,1.5,-112,-128
Onyeka Okongwu Turnovers,0.5,-169,117
Rodney McGruder Turnovers,0.5,499,-1200
Saddiq Bey Points,11.5,-113.3333333,-116.6666667
Saddiq Bey Points + Rebounds + Assists,15.5,-126,-114
Saddiq Bey Points + Rebounds,14.5,-118,-122
Saddiq Bey Points + Assists,12.5,-120,-120
Saddiq Bey Three Points Made,1.5,-109,-132
Saddiq Bey Turnovers,0.5,-128,-112
Trae Young Points,27.5,-126,-35.33333333
Trae Young Rebounds,3.5,129,-164.5
Trae Young Assists,9.5,-136.4,107.2
Trae Young Points + Rebounds + Assists,41.5,-110.5,-115
Trae Young Points + Rebounds,28.5,-118,-122
Trae Young Points + Assists,37.5,-120,-110
Trae Young Rebounds + Assists,12.5,-130,-100
Trae Young Three Points Made,2.5,103,-130.5
Trae Young Blocks,0.5,477,-1100
Trae Young Steals,0.5,-130,-110
Trae Young Steals + Blocks,0.5,-163,113
Trae Young Turnovers,3.5,122,-177
Caris LeVert Assists,2.5,-153,116
Caris Levert Rebounds,3.5,115.3333333,-155
Caris Levert Points,9.5,-130.5,-106
Caris Levert Points + Rebounds + Assists,16.5,-115,-115
Caris Levert Points + Rebounds,12.5,-145,101
Caris Levert Points + Assists,12.5,-118,-122
Caris Levert Rebounds + Assists,5.5,-163,113
Caris LeVert Three Points Made,0.5,-262,173
Caris LeVert Turnovers,1.5,109,-157
Cedi Osman Three Points Made,0.5,-134,-107
Cedi Osman Turnovers,0.5,115,-166
Chris Boucher Rebounds,4.5,-132,-33.33333333
Chris Boucher Points + Rebounds + Assists,12.5,-118,-122
Chris Boucher Points + Rebounds,12.5,-101,-142
Chris Boucher Rebounds + Assists,5.5,113,-163
Chris Boucher Three Points Made,0.5,-103,-140
Chris Boucher Steals + Blocks,1.5,138,-202
Chris Boucher Turnovers,0.5,-106,-136
Chris Boucher Points,6.5,-135,105
Christian Koloko Turnovers,0.5,236,-382
Darius Garland Points,19.5,-113.4,-113.4
Darius Garland Rebounds,2.5,-55.57142857,-6
Darius Garland Assists,7.5,-134.4,106.4
Darius Garland Points + Rebounds + Assists,30.5,-107,-119
Darius Garland Points + Rebounds,24.5,-116,-124
Darius Garland Points + Assists,26.5,-120,-110
Darius Garland Rebounds + Assists,10.5,-125,-105
Darius Garland Three Points Made,1.5,-171,132.5
Darius Garland Blocks,0.5,499,-1200
Darius Garland Steals,1.5,-262,173
Darius Garland Steals + Blocks,2.5,150,-222
Darius Garland Turnovers,3.5,-157,109
Donovan Mitchell Points,26.5,-122.5,-104
Donovan Mitchell Rebounds,3.5,-118.8,-108
Donovan Mitchell Assists,4.5,91.85714286,-159.2857143
Donovan Mitchell Points + Rebounds + Assists,34.5,-119,-108.2
Donovan Mitchell Points + Rebounds,25.5,-110,-130
Donovan Mitchell Points + Assists,26.5,-126,-114
Donovan Mitchell Rebounds + Assists,7.5,-124.5,-10.5
Donovan Mitchell Three Points Made,3.5,103,-130.5
Donovan Mitchell Blocks,0.5,226,-362
Donovan Mitchell Steals,0.5,-202,138
Donovan Mitchell Steals + Blocks,1.5,138,-202
Donovan Mitchell Turnovers,3.5,105,-151
Evan Mobley Points,13.5,-112.3333333,-121.3333333
Evan Mobley Rebounds,10.5,108.5,-149.5
Evan Mobley Assists,2.5,-202,138
Evan Mobley Points + Rebounds + Assists,26.5,-130,-110
Evan Mobley Points + Rebounds,22.5,-105,-125
Evan Mobley Points + Assists,16.5,-124,-116
Evan Mobley Rebounds + Assists,13.5,-107,-134
Evan Mobley Three Points Made,0.5,258,-427
Evan Mobley Blocks,0.5,-202,138
Evan Mobley Steals,0.5,117,-169
Evan Mobley Steals + Blocks,1.5,107,-154
Evan Mobley Turnovers,2.5,-114,-126
Fred VanVleet Points,17.5,-121.5,-105
Fred VanVleet Rebounds,3.5,-122.2857143,-53.57142857
Fred VanVleet Assists,5.5,-111,-115.8
Fred VanVleet Points + Rebounds + Assists,26.5,-125,31.66666667
Fred VanVleet Points + Rebounds,18.5,-142,-101
Fred VanVleet Points + Assists,19.5,-128,-112
Fred VanVleet Rebounds + Assists,8.5,-122,-118
Fred VanVleet Three Points Made,2.5,-103.5,-124.5
Fred VanVleet Blocks,0.5,101,-145
Fred VanVleet Steals,1.5,138,-202
Fred VanVleet Steals + Blocks,1.5,-151,105
Fred VanVleet Turnovers,1.5,-154,107
Gary Trent Jr. Points,11.5,-151,105
Gary Trent Jr. Points + Rebounds + Assists,14.5,-132,-109
Gary Trent Jr. Points + Rebounds,13.5,-124,-116
Gary Trent Jr. Points + Assists,13.5,101,-145
Gary Trent Jr. Three Points Made,1.5,-157,109
Gary Trent Jr. Steals + Blocks,1.5,134,-197
Gary Trent Jr. Turnovers,0.5,-112,-128
Isaac Okoro Points,11.5,2.5,-141
Isaac Okoro Rebounds,3.5,-148,103
Isaac Okoro Assists,1.5,-154,107
Isaac Okoro Points + Rebounds + Assists,16.5,-157,109
Isaac Okoro Points + Rebounds,15.5,101,-145
Isaac Okoro Points + Assists,12.5,-169,117
Isaac Okoro Rebounds + Assists,5.5,-120,-120
Isaac Okoro Three Points Made,1.5,117,-169
Isaac Okoro Blocks,1.5,190,-292
Isaac Okoro Steals,0.5,122,-177
Isaac Okoro Steals + Blocks,1.5,-163,113
Isaac Okoro Turnovers,0.5,131,-192
Jarrett Allen Points,13.5,-119.5,-111.5
Jarrett Allen Rebounds,9.5,-136.3333333,107
Jarrett Allen Assists,2.5,125,-182
Jarrett Allen Points + Rebounds + Assists,25.5,-114,-112
Jarrett Allen Points + Rebounds,24.5,-105,-125
Jarrett Allen Points + Assists,15.5,-134,-107
Jarrett Allen Rebounds + Assists,11.5,-107,-134
Jarrett Allen Blocks,1.5,156,-232
Jarrett Allen Steals,1.5,111,-160
Jarrett Allen Steals + Blocks,2.5,-132,-109
Jarrett Allen Turnovers,1.5,122,-177
Jarrett Allen Three Points Made,0.5,974,-31000
Juancho Hernangomez Points,6.5,-138,-104
Juancho Hernangomez Rebounds,3.5,-187,128
Juancho Hernangomez Assists,0.5,138,-202
Juancho Hernangomez Points + Rebounds + Assists,11.5,-106,-136
Juancho Hernangomez Points + Rebounds,10.5,-145,101
Juancho Hernangomez Points + Assists,7.5,117,-169
Juancho Hernangomez Rebounds + Assists,4.5,-112,-128
Juancho Hernangomez Three Points Made,1.5,117,-169
Juancho Hernangomez Blocks,0.5,291,-502
Juancho Hernangomez Steals,0.5,122,-177
Juancho Hernangomez Steals + Blocks,0.5,-132,-109
Juancho Hernangomez Turnovers,0.5,167,-252
Kevin Love Points,8.5,-110.6666667,-119.6666667
Kevin Love Rebounds,5.5,-129,-36
Kevin Love Points + Rebounds + Assists,15.5,-145,101
Kevin Love Points + Rebounds,13.5,-142,-101
Kevin Love Points + Assists,10.5,-101,-142
Kevin Love Rebounds + Assists,7.5,-132,-109
Kevin Love Three Points Made,1.5,-122,-118
Kevin Love Turnovers,0.5,-262,173
Malachi Flynn Three Points Made,0.5,125,-182
Malachi Flynn Turnovers,0.5,179,-272
O.G. Anunoby Points,16.5,-107.5,-118
O.G. Anunoby Three Points Made,1.5,113,-142
O.G. Anunoby Points + Rebounds + Assists,23.5,-108,-117.5
O.G. Anunoby Rebounds,4.5,-148,115.5
OG Anunoby Points,18.5,26.33333333,-129.6666667
OG Anunoby Rebounds,6.5,125.5,-173
OG Anunoby Assists,2.5,-103,-140
OG Anunoby Points + Rebounds + Assists,26.5,-130,-110
OG Anunoby Points + Rebounds,24.5,-112,-128
OG Anunoby Points + Assists,20.5,-132,-109
OG Anunoby Rebounds + Assists,8.5,-126,-114
OG Anunoby Three Points Made,2.5,134,-197
OG Anunoby Blocks,0.5,109,-157
OG Anunoby Steals,2.5,125,-182
OG Anunoby Steals + Blocks,2.5,-151,105
OG Anunoby Turnovers,3.5,-118,-122
Pascal Siakam Points,24.5,-122.6,-104.6
Pascal Siakam Rebounds,7.5,-134.7142857,17.57142857
Pascal Siakam Assists,5.5,-140,70.8
Pascal Siakam Points + Rebounds + Assists,38.5,-120.6,-107
Pascal Siakam Points + Rebounds,32.5,-115,-115
Pascal Siakam Points + Assists,30.5,-115,-115
Pascal Siakam Rebounds + Assists,13.5,-120,-110
Pascal Siakam Three Points Made,1.5,129,-165
Pascal Siakam Blocks,0.5,150,-222
Pascal Siakam Steals,1.5,-202,138
Pascal Siakam Steals + Blocks,2.5,122,-177
Pascal Siakam Turnovers,2.5,125,-182
Scottie Barnes Points,12.5,-114,-72.8
Scottie Barnes Rebounds,5.5,-107.8,-119.8
Scottie Barnes Assists,3.5,115.6,-146
Scottie Barnes Points + Rebounds + Assists,21.5,-111,-114.6
Scottie Barnes Points + Rebounds,18.5,-110,-120
Scottie Barnes Points + Assists,20.5,-107,-134
Scottie Barnes Rebounds + Assists,8.5,-135,105
Scottie Barnes Three Points Made,0.5,-109,-132
Scottie Barnes Blocks,0.5,117,-169
Scottie Barnes Steals,1.5,-148,103
Scottie Barnes Steals + Blocks,2.5,131,-192
Scottie Barnes Turnovers,2.5,101,-145
Thaddeus Young Rebounds,3.5,-101,-142
Thaddeus Young Three Points Made,0.5,269,-452
Thaddeus Young Turnovers,0.5,-122,-118
Thaddeus Young Points,4.5,5.5,-131.5
Ben Simmons Points,9.5,-117,-80.5
Ben Simmons Rebounds,6.5,-125.8,14.2
Ben Simmons Assists,5.5,-134.6666667,38.66666667
Ben Simmons Points + Rebounds + Assists,22.5,-105.6666667,-122.3333333
Ben Simmons Points + Rebounds,16.5,-104.5,-131.5
Ben Simmons Points + Assists,17.5,-116,-124
Ben Simmons Rebounds + Assists,12.5,-125,-105
Ben Simmons Blocks,0.5,122,-177
Ben Simmons Steals,0.5,-222,150
Ben Simmons Steals + Blocks,1.5,-101,-142
Ben Simmons Turnovers,1.5,-124,-116
Ben Simmons Three Points Made,0.5,988,-51000
Bobby Portis Points,11.5,-40.33333333,-128
Bobby Portis Rebounds,7.5,-127.3333333,-39.66666667
Bobby Portis Points + Rebounds + Assists,19.5,-142,-101
Bobby Portis Points + Rebounds,18.5,-140,-103
Bobby Portis Points + Assists,12.5,-109,-132
Bobby Portis Rebounds + Assists,8.5,-134,-107
Bobby Portis Three Points Made,0.5,-172,119
Bobby Portis Turnovers,0.5,-262,173
Brook Lopez Points,12.5,-123.4,-23.8
Brook Lopez Rebounds,5.5,-148.8,72.6
Brook Lopez Assists,0.5,-177,122
Brook Lopez Points + Rebounds + Assists,19.5,-113.5,-112
Brook Lopez Points + Rebounds,18.5,-110,-120
Brook Lopez Points + Assists,15.5,103,-148
Brook Lopez Rebounds + Assists,6.5,-148,103
Brook Lopez Three Points Made,1.5,-75.8,-116.2
Brook Lopez Blocks,1.5,131,-192
Brook Lopez Steals,0.5,156,-232
Brook Lopez Steals + Blocks,1.5,-130,-110
Brook Lopez Turnovers,0.5,-192,131
Cameron Thomas Three Points Made,0.5,453,-1000
Cameron Thomas Turnovers,0.5,382,-750
Edmond Sumner Three Points Made,0.5,115,-166
Edmond Sumner Turnovers,0.5,-112,-128
G. Antetokounmpo Points,36.5,-105,-125
